Race,Year,Circuit,Driver,DriverNumber,Team,LapNumber,PositionBefore,PositionAfter,PositionChange,ValidLapsEvaluated,Compound,TyreLife,FreshTyre,TrackStatus,IsSafetyCarPit,IsYellowFlagPit,TotalRaceLaps,RaceProgress,Label,OvertakingDifficulty,PitLossSeconds,OvertakingDifficulty_Numeric,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife_Category,Compound_Numeric,EarlyRace,MidRace,LateRace,LapsToEnd,EstimatedStintLength,InTypicalPitWindow
Bahrain Grand Prix,2022,Sakhir,ALB,23,Williams,36.0,16.0,17.2,1.1999999999999993,5,MEDIUM,3.0,False,1,False,False,57.0,0.631578947368421,1.0,Easy,20.0,3,15.0,0,0,0,1,Fresh,2.0,0,1,0,21.0,3.0,1
Bahrain Grand Prix,2022,Sakhir,ZHO,24,Alfa Romeo,15.0,12.0,14.25,2.25,4,SOFT,15.0,True,1,False,False,57.0,0.2631578947368421,0.0,Easy,20.0,3,11.0,0,0,1,0,Good,1.0,1,0,0,42.0,15.0,1
Bahrain Grand Prix,2022,Sakhir,ZHO,24,Alfa Romeo,16.0,8.0,14.0,6.0,5,MEDIUM,1.0,True,1,False,False,57.0,0.2807017543859649,0.0,Easy,20.0,3,7.0,0,0,1,0,Fresh,2.0,1,0,0,41.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,ZHO,24,Alfa Romeo,37.0,8.0,13.0,5.0,4,MEDIUM,22.0,True,1,False,False,57.0,0.6491228070175439,0.0,Easy,20.0,3,7.0,0,0,1,0,Good,2.0,0,1,0,20.0,22.0,1
Bahrain Grand Prix,2022,Sakhir,ZHO,24,Alfa Romeo,38.0,9.0,12.8,3.8000000000000007,5,MEDIUM,1.0,True,1,False,False,57.0,0.6666666666666666,0.0,Easy,20.0,3,8.0,0,0,1,0,Fresh,2.0,0,1,0,19.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,HUL,27,Aston Martin,19.0,17.0,20.0,3.0,4,SOFT,19.0,True,1,False,False,57.0,0.3333333333333333,0.0,Easy,20.0,3,16.0,0,0,0,1,Good,1.0,0,1,0,38.0,19.0,1
Bahrain Grand Prix,2022,Sakhir,HUL,27,Aston Martin,20.0,17.0,19.8,2.8000000000000007,5,SOFT,1.0,True,1,False,False,57.0,0.3508771929824561,0.0,Easy,20.0,3,16.0,0,0,0,1,Fresh,1.0,0,1,0,37.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,HUL,27,Aston Martin,37.0,17.0,20.0,3.0,4,SOFT,18.0,True,1,False,False,57.0,0.6491228070175439,0.0,Easy,20.0,3,16.0,0,0,0,1,Good,1.0,0,1,0,20.0,18.0,1
Bahrain Grand Prix,2022,Sakhir,HUL,27,Aston Martin,38.0,17.0,20.0,3.0,5,MEDIUM,1.0,True,1,False,False,57.0,0.6666666666666666,0.0,Easy,20.0,3,16.0,0,0,0,1,Fresh,2.0,0,1,0,19.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,RIC,3,McLaren,17.0,15.0,19.25,4.25,4,MEDIUM,17.0,True,1,False,False,57.0,0.2982456140350877,0.0,Easy,20.0,3,14.0,0,0,1,0,Good,2.0,1,0,0,40.0,17.0,1
