PositionBefore,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife,Compound_Numeric,FreshTyre,RaceProgress,EarlyRace,MidRace,LateRace,LapsToEnd,OvertakingDifficulty_Numeric,PitLossSeconds,EstimatedStintLength,InTypicalPitWindow,Year
2.0,1.0,0,1,0,0,1.0,2.0,True,0.31746031746031744,1,0,0,43.0,1,18.0,1.0,1,2022
3.0,2.0,0,1,0,0,1.0,1.0,True,0.7936507936507936,0,0,1,13.0,1,18.0,1.0,0,2022
3.0,2.0,0,1,0,0,4.0,1.0,True,0.8412698412698413,0,0,1,10.0,1,18.0,4.0,0,2022
5.0,4.0,0,0,0,0,1.0,1.0,False,0.8571428571428571,0,0,1,9.0,1,18.0,1.0,0,2022
8.0,7.0,0,0,1,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
8.0,7.0,0,0,1,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
8.0,7.0,0,0,1,0,17.0,2.0,True,0.2698412698412698,1,0,0,46.0,1,18.0,17.0,1,2022
9.0,8.0,0,0,1,0,3.0,2.0,False,0.2857142857142857,1,0,0,45.0,1,18.0,3.0,1,2022
7.0,6.0,0,0,1,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
7.0,6.0,0,0,1,0,3.0,2.0,False,0.30158730158730157,1,0,0,44.0,1,18.0,3.0,1,2022
10.0,9.0,0,0,1,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
9.0,8.0,0,0,1,0,3.0,2.0,False,0.30158730158730157,1,0,0,44.0,1,18.0,3.0,1,2022
14.0,13.0,0,0,1,0,17.0,2.0,True,0.2698412698412698,1,0,0,46.0,1,18.0,17.0,1,2022
17.0,16.0,0,0,0,1,1.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,1.0,1,2022
13.0,12.0,0,0,1,0,17.0,2.0,True,0.2698412698412698,1,0,0,46.0,1,18.0,17.0,1,2022
13.0,12.0,0,0,1,0,1.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,1.0,1,2022
11.0,10.0,0,0,1,0,18.0,2.0,False,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
10.0,9.0,0,0,1,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
12.0,11.0,0,0,1,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
11.0,10.0,0,0,1,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
15.0,14.0,0,0,1,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
13.0,12.0,0,0,1,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
14.0,13.0,0,0,1,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
12.0,11.0,0,0,1,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
16.0,15.0,0,0,0,1,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
14.0,13.0,0,0,1,0,3.0,2.0,False,0.30158730158730157,1,0,0,44.0,1,18.0,3.0,1,2022
17.0,16.0,0,0,0,1,36.0,2.0,False,0.8253968253968254,0,0,1,11.0,1,18.0,36.0,0,2022
17.0,16.0,0,0,0,1,1.0,1.0,True,0.8412698412698413,0,0,1,10.0,1,18.0,1.0,0,2022
18.0,17.0,0,0,0,1,16.0,2.0,False,0.25396825396825395,1,0,0,47.0,1,18.0,16.0,1,2022
18.0,17.0,0,0,0,1,1.0,2.0,True,0.2698412698412698,1,0,0,46.0,1,18.0,1.0,1,2022
15.0,14.0,0,0,1,0,14.0,2.0,True,0.47619047619047616,0,1,0,33.0,1,18.0,14.0,1,2022
15.0,14.0,0,0,1,0,1.0,3.0,True,0.49206349206349204,0,1,0,32.0,1,18.0,1.0,1,2022
1.0,0.0,1,1,0,0,26.0,2.0,True,0.45614035087719296,0,1,0,31.0,2,18.0,26.0,1,2022
1.0,0.0,1,1,0,0,1.0,3.0,True,0.47368421052631576,0,1,0,30.0,2,18.0,1.0,1,2022
7.0,6.0,0,0,1,0,16.0,2.0,True,0.2807017543859649,1,0,0,41.0,2,18.0,16.0,1,2022
7.0,6.0,0,0,1,0,1.0,3.0,True,0.2982456140350877,1,0,0,40.0,2,18.0,1.0,1,2022
3.0,2.0,0,1,0,0,27.0,2.0,True,0.47368421052631576,0,1,0,30.0,2,18.0,27.0,1,2022
4.0,3.0,0,0,0,0,1.0,3.0,True,0.49122807017543857,0,1,0,29.0,2,18.0,1.0,1,2022
8.0,7.0,0,0,1,0,15.0,2.0,True,0.2631578947368421,1,0,0,42.0,2,18.0,15.0,1,2022
9.0,8.0,0,0,1,0,2.0,3.0,False,0.2807017543859649,1,0,0,41.0,2,18.0,2.0,1,2022
2.0,1.0,0,1,0,0,24.0,2.0,True,0.42105263157894735,0,1,0,33.0,2,18.0,24.0,1,2022
3.0,2.0,0,1,0,0,1.0,3.0,True,0.43859649122807015,0,1,0,32.0,2,18.0,1.0,1,2022
10.0,9.0,0,0,1,0,12.0,2.0,True,0.21052631578947367,1,0,0,45.0,2,18.0,12.0,0,2022
13.0,12.0,0,0,1,0,1.0,3.0,True,0.22807017543859648,1,0,0,44.0,2,18.0,1.0,0,2022
13.0,12.0,0,0,1,0,11.0,2.0,True,0.19298245614035087,1,0,0,46.0,2,18.0,11.0,0,2022
16.0,15.0,0,0,0,1,1.0,3.0,True,0.21052631578947367,1,0,0,45.0,2,18.0,1.0,0,2022
12.0,11.0,0,0,1,0,16.0,2.0,True,0.2807017543859649,1,0,0,41.0,2,18.0,16.0,1,2022
12.0,11.0,0,0,1,0,1.0,3.0,True,0.2982456140350877,1,0,0,40.0,2,18.0,1.0,1,2022
8.0,7.0,0,0,1,0,30.0,2.0,True,0.5263157894736842,0,1,0,27.0,2,18.0,30.0,1,2022
10.0,9.0,0,0,1,0,1.0,3.0,True,0.543859649122807,0,1,0,26.0,2,18.0,1.0,1,2022
7.0,6.0,0,0,1,0,18.0,2.0,True,0.3157894736842105,1,0,0,39.0,2,18.0,18.0,1,2022
8.0,7.0,0,0,1,0,1.0,3.0,True,0.3333333333333333,0,1,0,38.0,2,18.0,1.0,1,2022
6.0,5.0,0,0,1,0,22.0,2.0,True,0.38596491228070173,0,1,0,35.0,2,18.0,22.0,1,2022
6.0,5.0,0,0,1,0,1.0,3.0,True,0.40350877192982454,0,1,0,34.0,2,18.0,1.0,1,2022
10.0,9.0,0,0,1,0,14.0,2.0,True,0.24561403508771928,1,0,0,43.0,2,18.0,14.0,0,2022
12.0,11.0,0,0,1,0,1.0,3.0,True,0.2631578947368421,1,0,0,42.0,2,18.0,1.0,1,2022
2.0,1.0,0,1,0,0,27.0,2.0,True,0.47368421052631576,0,1,0,30.0,2,18.0,27.0,1,2022
1.0,0.0,1,1,0,0,1.0,3.0,True,0.49122807017543857,0,1,0,29.0,2,18.0,1.0,1,2022
19.0,18.0,0,0,0,1,34.0,3.0,True,0.5964912280701754,0,1,0,23.0,2,18.0,34.0,1,2022
19.0,18.0,0,0,0,1,1.0,2.0,True,0.6140350877192983,0,1,0,22.0,2,18.0,1.0,1,2022
5.0,4.0,0,0,0,0,26.0,2.0,True,0.45614035087719296,0,1,0,31.0,2,18.0,26.0,1,2022
5.0,4.0,0,0,0,0,1.0,3.0,True,0.47368421052631576,0,1,0,30.0,2,18.0,1.0,1,2022
3.0,2.0,0,1,0,0,16.0,1.0,False,0.19696969696969696,1,0,0,53.0,2,20.0,16.0,0,2022
4.0,3.0,0,0,0,0,1.0,2.0,True,0.21212121212121213,1,0,0,52.0,2,20.0,1.0,0,2022
2.0,1.0,0,1,0,0,15.0,2.0,True,0.42424242424242425,0,1,0,38.0,2,20.0,15.0,1,2022
3.0,2.0,0,1,0,0,4.0,1.0,False,0.4393939393939394,0,1,0,37.0,2,20.0,4.0,1,2022
1.0,0.0,1,1,0,0,19.0,1.0,False,0.6666666666666666,0,1,0,22.0,2,20.0,19.0,1,2022
1.0,0.0,1,1,0,0,1.0,2.0,True,0.6818181818181818,0,0,1,21.0,2,20.0,1.0,1,2022
2.0,1.0,0,1,0,0,20.0,1.0,False,0.25757575757575757,1,0,0,49.0,2,20.0,20.0,1,2022
2.0,1.0,0,1,0,0,1.0,2.0,True,0.2727272727272727,1,0,0,48.0,2,20.0,1.0,1,2022
1.0,0.0,1,1,0,0,20.0,2.0,True,0.5606060606060606,0,1,0,29.0,2,20.0,20.0,1,2022
1.0,0.0,1,1,0,0,1.0,2.0,True,0.5757575757575758,0,1,0,28.0,2,20.0,1.0,1,2022
2.0,1.0,0,1,0,0,16.0,2.0,True,0.803030303030303,0,0,1,13.0,2,20.0,16.0,0,2022
2.0,1.0,0,1,0,0,4.0,1.0,False,0.8181818181818182,0,0,1,12.0,2,20.0,4.0,0,2022
2.0,1.0,0,1,0,0,16.0,1.0,False,0.19696969696969696,1,0,0,53.0,2,20.0,16.0,0,2022
3.0,2.0,0,1,0,0,1.0,2.0,True,0.21212121212121213,1,0,0,52.0,2,20.0,1.0,0,2022
2.0,1.0,0,1,0,0,23.0,2.0,True,0.5454545454545454,0,1,0,30.0,2,20.0,23.0,1,2022
3.0,2.0,0,1,0,0,1.0,2.0,True,0.5606060606060606,0,1,0,29.0,2,20.0,1.0,1,2022
3.0,2.0,0,1,0,0,15.0,2.0,True,0.7727272727272727,0,0,1,15.0,2,20.0,15.0,0,2022
3.0,2.0,0,1,0,0,3.0,1.0,False,0.7878787878787878,0,0,1,14.0,2,20.0,3.0,0,2022
11.0,10.0,0,0,1,0,13.0,1.0,False,0.15151515151515152,1,0,0,56.0,2,20.0,13.0,0,2022
11.0,10.0,0,0,1,0,1.0,2.0,True,0.16666666666666666,1,0,0,55.0,2,20.0,1.0,0,2022
5.0,4.0,0,0,0,0,21.0,2.0,True,0.4696969696969697,0,1,0,35.0,2,20.0,21.0,1,2022
5.0,4.0,0,0,0,0,1.0,2.0,True,0.48484848484848486,0,1,0,34.0,2,20.0,1.0,1,2022
5.0,4.0,0,0,0,0,14.0,2.0,True,0.6818181818181818,0,0,1,21.0,2,20.0,14.0,1,2022
5.0,4.0,0,0,0,0,4.0,1.0,False,0.696969696969697,0,0,1,20.0,2,20.0,4.0,1,2022
19.0,18.0,0,0,0,1,3.0,1.0,False,0.030303030303030304,1,0,0,64.0,2,20.0,3.0,0,2022
16.0,15.0,0,0,0,1,23.0,1.0,False,0.3333333333333333,0,1,0,44.0,2,20.0,23.0,1,2022
16.0,15.0,0,0,0,1,1.0,2.0,True,0.3484848484848485,0,1,0,43.0,2,20.0,1.0,1,2022
5.0,4.0,0,0,0,0,26.0,2.0,True,0.7272727272727273,0,0,1,18.0,2,20.0,26.0,1,2022
5.0,4.0,0,0,0,0,4.0,1.0,False,0.7424242424242424,0,0,1,17.0,2,20.0,4.0,1,2022
5.0,4.0,0,0,0,0,17.0,1.0,False,0.21212121212121213,1,0,0,52.0,2,20.0,17.0,0,2022
3.0,2.0,0,1,0,0,1.0,2.0,True,0.22727272727272727,1,0,0,51.0,2,20.0,1.0,1,2022
4.0,3.0,0,0,0,0,20.0,2.0,True,0.5151515151515151,0,1,0,32.0,2,20.0,20.0,1,2022
4.0,3.0,0,0,0,0,1.0,2.0,True,0.5303030303030303,0,1,0,31.0,2,20.0,1.0,1,2022
6.0,5.0,0,0,1,0,13.0,1.0,True,0.19696969696969696,1,0,0,53.0,2,20.0,13.0,0,2022
6.0,5.0,0,0,1,0,1.0,2.0,True,0.21212121212121213,1,0,0,52.0,2,20.0,1.0,0,2022
5.0,4.0,0,0,0,0,22.0,2.0,True,0.5303030303030303,0,1,0,31.0,2,20.0,22.0,1,2022
6.0,5.0,0,0,1,0,4.0,1.0,False,0.5454545454545454,0,1,0,30.0,2,20.0,4.0,1,2022
7.0,6.0,0,0,1,0,20.0,1.0,False,0.7878787878787878,0,0,1,14.0,2,20.0,20.0,0,2022
7.0,6.0,0,0,1,0,4.0,1.0,False,0.803030303030303,0,0,1,13.0,2,20.0,4.0,0,2022
7.0,6.0,0,0,1,0,12.0,1.0,True,0.18181818181818182,1,0,0,54.0,2,20.0,12.0,0,2022
7.0,6.0,0,0,1,0,1.0,2.0,True,0.19696969696969696,1,0,0,53.0,2,20.0,1.0,0,2022
6.0,5.0,0,0,1,0,21.0,2.0,True,0.5,0,1,0,33.0,2,20.0,21.0,1,2022
6.0,5.0,0,0,1,0,4.0,1.0,False,0.5151515151515151,0,1,0,32.0,2,20.0,4.0,1,2022
8.0,7.0,0,0,1,0,21.0,1.0,False,0.7727272727272727,0,0,1,15.0,2,20.0,21.0,0,2022
8.0,7.0,0,0,1,0,4.0,1.0,False,0.7878787878787878,0,0,1,14.0,2,20.0,4.0,0,2022
12.0,11.0,0,0,1,0,10.0,1.0,True,0.15151515151515152,1,0,0,56.0,2,20.0,10.0,0,2022
13.0,12.0,0,0,1,0,1.0,2.0,True,0.16666666666666666,1,0,0,55.0,2,20.0,1.0,0,2022
9.0,8.0,0,0,1,0,21.0,2.0,True,0.4696969696969697,0,1,0,35.0,2,20.0,21.0,1,2022
9.0,8.0,0,0,1,0,1.0,1.0,True,0.48484848484848486,0,1,0,34.0,2,20.0,1.0,1,2022
8.0,7.0,0,0,1,0,22.0,1.0,True,0.803030303030303,0,0,1,13.0,2,20.0,22.0,0,2022
7.0,6.0,0,0,1,0,3.0,1.0,False,0.8181818181818182,0,0,1,12.0,2,20.0,3.0,0,2022
10.0,9.0,0,0,1,0,11.0,1.0,True,0.16666666666666666,1,0,0,55.0,2,20.0,11.0,0,2022
9.0,8.0,0,0,1,0,1.0,2.0,True,0.18181818181818182,1,0,0,54.0,2,20.0,1.0,0,2022
